Centre,Gender,Labour Category,Labour Type,State,District,Centre_length,Date,Wage
KOYYALAGUDEM FIELD LABOUR,W,"SKILLED 
LABOUR",BLACKSMITH,ANDHRA PRADESH,WEST GODAVARI,25,Feb-11,-
KOYYALAGUDEM FIELD LABOUR,M,"SKILLED 
LABOUR",CARPENTER,ANDHRA PRADESH,WEST GODAVARI,25,Feb-11,160
KOYYALAGUDEM FIELD LABOUR,W,"SKILLED 
LABOUR",CARPENTER,ANDHRA PRADESH,WEST GODAVARI,25,Feb-11,-
CHENGAOUANDU FIELD LABOUR,M,"SKILLED 
LABOUR","REAPER & 
HARVESTER",KARNATAKA,KOLLAM,25,Feb-11,400
CHENGAOUANDU FIELD LABOUR,W,"SKILLED 
LABOUR","REAPER & 
HARVESTER",KARNATAKA,KOLLAM,25,Feb-11,275
CHENGAOUANDU FIELD LABOUR,M,"SKILLED 
LABOUR",SOWER,KARNATAKA,KOLLAM,25,Feb-11,350
CHENGAOUANDU FIELD LABOUR,W,"SKILLED 
LABOUR",SOWER,KARNATAKA,KOLLAM,25,Feb-11,-
CHENGAOUANDU FIELD LABOUR,M,"SKILLED 
LABOUR",WEEDER,KARNATAKA,KOLLAM,25,Feb-11,-
CHENGAOUANDU FIELD LABOUR,W,"SKILLED 
LABOUR",WEEDER,KARNATAKA,KOLLAM,25,Feb-11,275
CHENGAOUANDU FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",KARNATAKA,KOLLAM,25,Feb-11,380
CHENGAOUANDU FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",KARNATAKA,KOLLAM,25,Feb-11,300
CHENGAOUANDU FIELD LABOUR,M,"SKILLED 
LABOUR",CARPENTER,KARNATAKA,KOLLAM,25,Feb-11,450
CHENGAOUANDU FIELD LABOUR,W,"SKILLED 
LABOUR",CARPENTER,KARNATAKA,KOLLAM,25,Feb-11,-
MANGALAPURAM FIELD LABOUR,M,"SKILLED 
LABOUR","REAPER & 
HARVESTER",TAMIL NADU,NANAKKAL,25,Feb-11,234.5
MANGALAPURAM FIELD LABOUR,W,"SKILLED 
LABOUR","REAPER & 
HARVESTER",TAMIL NADU,NANAKKAL,25,Feb-11,116
MANGALAPURAM FIELD LABOUR,M,"SKILLED 
LABOUR",SOWER,TAMIL NADU,NANAKKAL,25,Feb-11,-
MANGALAPURAM FIELD LABOUR,W,"SKILLED 
LABOUR",SOWER,TAMIL NADU,NANAKKAL,25,Feb-11,100
MANGALAPURAM FIELD LABOUR,M,"SKILLED 
LABOUR",WEEDER,TAMIL NADU,NANAKKAL,25,Feb-11,-
MANGALAPURAM FIELD LABOUR,W,"SKILLED 
LABOUR",WEEDER,TAMIL NADU,NANAKKAL,25,Feb-11,97.1
MANGALAPURAM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",TAMIL NADU,NANAKKAL,25,Feb-11,219.5
MANGALAPURAM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",TAMIL NADU,NANAKKAL,25,Feb-11,110
THURINJAPURAM FIELD LABOUR,M,"SKILLED 
LABOUR",PLOUGHMAN,TAMIL NADU,TIRUVANNAMALAI,26,Feb-11,105
THURINJAPURAM FIELD LABOUR,W,"SKILLED 
LABOUR",PLOUGHMAN,TAMIL NADU,TIRUVANNAMALAI,26,Feb-11,-
THURINJAPURAM FIELD LABOUR,M,"SKILLED 
LABOUR","REAPER & 
HARVESTER",TAMIL NADU,TIRUVANNAMALAI,26,Feb-11,134.25
THURINJAPURAM FIELD LABOUR,W,"SKILLED 
LABOUR","REAPER & 
HARVESTER",TAMIL NADU,TIRUVANNAMALAI,26,Feb-11,91.66
THURINJAPURAM FIELD LABOUR,M,"SKILLED 
LABOUR",SOWER,TAMIL NADU,TIRUVANNAMALAI,26,Feb-11,100
THURINJAPURAM FIELD LABOUR,W,"SKILLED 
LABOUR",SOWER,TAMIL NADU,TIRUVANNAMALAI,26,Feb-11,40
THURINJAPURAM FIELD LABOUR,M,"SKILLED 
LABOUR",WEEDER,TAMIL NADU,TIRUVANNAMALAI,26,Feb-11,-
THURINJAPURAM FIELD LABOUR,W,"SKILLED 
LABOUR",WEEDER,TAMIL NADU,TIRUVANNAMALAI,26,Feb-11,57
THURINJAPURAM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",TAMIL NADU,TIRUVANNAMALAI,26,Feb-11,146.67
THURINJAPURAM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",TAMIL NADU,TIRUVANNAMALAI,26,Feb-11,98.57
UTTAR DINAJPUR FIELD LABOUR,M,"SKILLED 
LABOUR",PLOUGHMAN,UTTRAKHAND,"UTTAR 
DINAJPUR",27,Feb-11,164
UTTAR DINAJPUR FIELD LABOUR,W,"SKILLED 
LABOUR",PLOUGHMAN,UTTRAKHAND,"UTTAR 
DINAJPUR",27,Feb-11,-
UTTAR DINAJPUR FIELD LABOUR,M,"SKILLED 
LABOUR","REAPER & 
HARVESTER",UTTRAKHAND,"UTTAR 
DINAJPUR",27,Feb-11,107
UTTAR DINAJPUR FIELD LABOUR,W,"SKILLED 
LABOUR","REAPER & 
HARVESTER",UTTRAKHAND,"UTTAR 
DINAJPUR",27,Feb-11,-
UTTAR DINAJPUR FIELD LABOUR,M,"SKILLED 
LABOUR",SOWER,UTTRAKHAND,"UTTAR 
DINAJPUR",27,Feb-11,125
UTTAR DINAJPUR FIELD LABOUR,W,"SKILLED 
LABOUR",SOWER,UTTRAKHAND,"UTTAR 
DINAJPUR",27,Feb-11,101
UTTAR DINAJPUR FIELD LABOUR,M,"SKILLED 
LABOUR",WEEDER,UTTRAKHAND,"UTTAR 
DINAJPUR",27,Feb-11,124
UTTAR DINAJPUR FIELD LABOUR,W,"SKILLED 
LABOUR",WEEDER,UTTRAKHAND,"UTTAR 
DINAJPUR",27,Feb-11,95
UTTAR DINAJPUR FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",UTTRAKHAND,"UTTAR 
DINAJPUR",27,Feb-11,128
UTTAR DINAJPUR FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",UTTRAKHAND,"UTTAR 
DINAJPUR",27,Feb-11,100
KOYYALAGUDEM FIELD LABOUR,M,"SKILLED 
LABOUR",FIELD LABOUR,ANDHRA PRADESH,WEST GODAVARI,25,Mar-11,250
KOYYALAGUDEM FIELD LABOUR,W,"SKILLED 
LABOUR",FIELD LABOUR,ANDHRA PRADESH,WEST GODAVARI,25,Mar-11,180
KOYYALAGUDEM FIELD LABOUR,M,HERDSMEN,HERDSMEN,ANDHRA PRADESH,WEST GODAVARI,25,Mar-11,90
KOYYALAGUDEM FIELD LABOUR,W,HERDSMEN,HERDSMEN,ANDHRA PRADESH,WEST GODAVARI,25,Mar-11,-
KOYYALAGUDEM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",ANDHRA PRADESH,WEST GODAVARI,25,Mar-11,180
KOYYALAGUDEM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",ANDHRA PRADESH,WEST GODAVARI,25,Mar-11,100
KOYYALAGUDEM FIELD LABOUR,M,"SKILLED 
LABOUR",BLACKSMITH,ANDHRA PRADESH,WEST GODAVARI,25,Mar-11,250
KOYYALAGUDEM FIELD LABOUR,W,"SKILLED 
LABOUR",BLACKSMITH,ANDHRA PRADESH,WEST GODAVARI,25,Mar-11,-
KOYYALAGUDEM FIELD LABOUR,M,"SKILLED 
LABOUR",CARPENTER,ANDHRA PRADESH,WEST GODAVARI,25,Mar-11,150
KOYYALAGUDEM FIELD LABOUR,W,"SKILLED 
LABOUR",CARPENTER,ANDHRA PRADESH,WEST GODAVARI,25,Mar-11,-
CHENGAOUANDU FIELD LABOUR,M,"SKILLED 
LABOUR","REAPER & 
HARVESTER",KARNATAKA,KOLLAM,25,Mar-11,400
CHENGAOUANDU FIELD LABOUR,W,"SKILLED 
LABOUR","REAPER & 
HARVESTER",KARNATAKA,KOLLAM,25,Mar-11,275
CHENGAOUANDU FIELD LABOUR,M,"SKILLED 
LABOUR",SOWER,KARNATAKA,KOLLAM,25,Mar-11,350
CHENGAOUANDU FIELD LABOUR,W,"SKILLED 
LABOUR",SOWER,KARNATAKA,KOLLAM,25,Mar-11,-
CHENGAOUANDU FIELD LABOUR,M,"SKILLED 
LABOUR",WEEDER,KARNATAKA,KOLLAM,25,Mar-11,-
CHENGAOUANDU FIELD LABOUR,W,"SKILLED 
LABOUR",WEEDER,KARNATAKA,KOLLAM,25,Mar-11,275
CHENGAOUANDU FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",KARNATAKA,KOLLAM,25,Mar-11,380
CHENGAOUANDU FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",KARNATAKA,KOLLAM,25,Mar-11,300
CHENGAOUANDU FIELD LABOUR,M,"SKILLED 
LABOUR",CARPENTER,KARNATAKA,KOLLAM,25,Mar-11,450
CHENGAOUANDU FIELD LABOUR,W,"SKILLED 
LABOUR",CARPENTER,KARNATAKA,KOLLAM,25,Mar-11,-
MANGALAPURAM FIELD LABOUR,M,"SKILLED 
LABOUR","REAPER & 
HARVESTER",TAMIL NADU,NANAKKAL,25,Mar-11,239.3
MANGALAPURAM FIELD LABOUR,W,"SKILLED 
LABOUR","REAPER & 
HARVESTER",TAMIL NADU,NANAKKAL,25,Mar-11,106.9
MANGALAPURAM FIELD LABOUR,M,"SKILLED 
LABOUR",SOWER,TAMIL NADU,NANAKKAL,25,Mar-11,-
MANGALAPURAM FIELD LABOUR,W,"SKILLED 
LABOUR",SOWER,TAMIL NADU,NANAKKAL,25,Mar-11,-
MANGALAPURAM FIELD LABOUR,M,"SKILLED 
LABOUR",WEEDER,TAMIL NADU,NANAKKAL,25,Mar-11,-
MANGALAPURAM FIELD LABOUR,W,"SKILLED 
LABOUR",WEEDER,TAMIL NADU,NANAKKAL,25,Mar-11,99
MANGALAPURAM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",TAMIL NADU,NANAKKAL,25,Mar-11,-
MANGALAPURAM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",TAMIL NADU,NANAKKAL,25,Mar-11,-
THURINJAPURAM FIELD LABOUR,M,"SKILLED 
LABOUR",PLOUGHMAN,TAMIL NADU,TIRUVANNAMALAI,26,Mar-11,125
THURINJAPURAM FIELD LABOUR,W,"SKILLED 
LABOUR",PLOUGHMAN,TAMIL NADU,TIRUVANNAMALAI,26,Mar-11,-
THURINJAPURAM FIELD LABOUR,M,"SKILLED 
LABOUR","REAPER & 
HARVESTER",TAMIL NADU,TIRUVANNAMALAI,26,Mar-11,147
THURINJAPURAM FIELD LABOUR,W,"SKILLED 
LABOUR","REAPER & 
HARVESTER",TAMIL NADU,TIRUVANNAMALAI,26,Mar-11,75.91
THURINJAPURAM FIELD LABOUR,M,"SKILLED 
LABOUR",SOWER,TAMIL NADU,TIRUVANNAMALAI,26,Mar-11,100
THURINJAPURAM FIELD LABOUR,W,"SKILLED 
LABOUR",SOWER,TAMIL NADU,TIRUVANNAMALAI,26,Mar-11,40
THURINJAPURAM FIELD LABOUR,M,"SKILLED 
LABOUR",WEEDER,TAMIL NADU,TIRUVANNAMALAI,26,Mar-11,-
THURINJAPURAM FIELD LABOUR,W,"SKILLED 
LABOUR",WEEDER,TAMIL NADU,TIRUVANNAMALAI,26,Mar-11,61.44
THURINJAPURAM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",TAMIL NADU,TIRUVANNAMALAI,26,Mar-11,155
THURINJAPURAM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",TAMIL NADU,TIRUVANNAMALAI,26,Mar-11,65
UTTAR DINAJPUR FIELD LABOUR,M,"SKILLED 
LABOUR",PLOUGHMAN,UTTRAKHAND,"UTTAR 
DINAJPUR",27,Mar-11,172
UTTAR DINAJPUR FIELD LABOUR,W,"SKILLED 
LABOUR",PLOUGHMAN,UTTRAKHAND,"UTTAR 
DINAJPUR",27,Mar-11,-
UTTAR DINAJPUR FIELD LABOUR,M,"SKILLED 
LABOUR","REAPER & 
HARVESTER",UTTRAKHAND,"UTTAR 
DINAJPUR",27,Mar-11,140
UTTAR DINAJPUR FIELD LABOUR,W,"SKILLED 
LABOUR","REAPER & 
HARVESTER",UTTRAKHAND,"UTTAR 
DINAJPUR",27,Mar-11,120
UTTAR DINAJPUR FIELD LABOUR,M,"SKILLED 
LABOUR",SOWER,UTTRAKHAND,"UTTAR 
DINAJPUR",27,Mar-11,142
UTTAR DINAJPUR FIELD LABOUR,W,"SKILLED 
LABOUR",SOWER,UTTRAKHAND,"UTTAR 
DINAJPUR",27,Mar-11,121
UTTAR DINAJPUR FIELD LABOUR,M,"SKILLED 
LABOUR",WEEDER,UTTRAKHAND,"UTTAR 
DINAJPUR",27,Mar-11,139
UTTAR DINAJPUR FIELD LABOUR,W,"SKILLED 
LABOUR",WEEDER,UTTRAKHAND,"UTTAR 
DINAJPUR",27,Mar-11,93
UTTAR DINAJPUR FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",UTTRAKHAND,"UTTAR 
DINAJPUR",27,Mar-11,140
UTTAR DINAJPUR FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",UTTRAKHAND,"UTTAR 
DINAJPUR",27,Mar-11,110
KOYYALAGUDEM FIELD LABOUR,M,"SKILLED 
LABOUR",FIELD LABOUR,ANDHRA PRADESH,WEST GODAVARI,25,Apr-11,260
KOYYALAGUDEM FIELD LABOUR,W,"SKILLED 
LABOUR",FIELD LABOUR,ANDHRA PRADESH,WEST GODAVARI,25,Apr-11,180
KOYYALAGUDEM FIELD LABOUR,M,HERDSMEN,HERDSMEN,ANDHRA PRADESH,WEST GODAVARI,25,Apr-11,90
KOYYALAGUDEM FIELD LABOUR,W,HERDSMEN,HERDSMEN,ANDHRA PRADESH,WEST GODAVARI,25,Apr-11,75
KOYYALAGUDEM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",ANDHRA PRADESH,WEST GODAVARI,25,Apr-11,200
KOYYALAGUDEM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",ANDHRA PRADESH,WEST GODAVARI,25,Apr-11,100
KOYYALAGUDEM FIELD LABOUR,M,"SKILLED 
LABOUR",BLACKSMITH,ANDHRA PRADESH,WEST GODAVARI,25,Apr-11,260
KOYYALAGUDEM FIELD LABOUR,W,"SKILLED 
LABOUR",BLACKSMITH,ANDHRA PRADESH,WEST GODAVARI,25,Apr-11,-
KOYYALAGUDEM FIELD LABOUR,M,"SKILLED 
LABOUR",CARPENTER,ANDHRA PRADESH,WEST GODAVARI,25,Apr-11,155
KOYYALAGUDEM FIELD LABOUR,W,"SKILLED 
LABOUR",CARPENTER,ANDHRA PRADESH,WEST GODAVARI,25,Apr-11,-
CHENGAOUANDU FIELD LABOUR,M,"SKILLED 
LABOUR","REAPER & 
HARVESTER",KARNATAKA,KOLLAM,25,Apr-11,400
CHENGAOUANDU FIELD LABOUR,W,"SKILLED 
LABOUR","REAPER & 
HARVESTER",KARNATAKA,KOLLAM,25,Apr-11,300
CHENGAOUANDU FIELD LABOUR,M,"SKILLED 
LABOUR",SOWER,KARNATAKA,KOLLAM,25,Apr-11,400
CHENGAOUANDU FIELD LABOUR,W,"SKILLED 
LABOUR",SOWER,KARNATAKA,KOLLAM,25,Apr-11,-
CHENGAOUANDU FIELD LABOUR,M,"SKILLED 
LABOUR",WEEDER,KARNATAKA,KOLLAM,25,Apr-11,-
CHENGAOUANDU FIELD LABOUR,W,"SKILLED 
LABOUR",WEEDER,KARNATAKA,KOLLAM,25,Apr-11,300
CHENGAOUANDU FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",KARNATAKA,KOLLAM,25,Apr-11,413.33
CHENGAOUANDU FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",KARNATAKA,KOLLAM,25,Apr-11,325
CHENGAOUANDU FIELD LABOUR,M,"SKILLED 
LABOUR",CARPENTER,KARNATAKA,KOLLAM,25,Apr-11,450
CHENGAOUANDU FIELD LABOUR,W,"SKILLED 
LABOUR",CARPENTER,KARNATAKA,KOLLAM,25,Apr-11,-
MANGALAPURAM FIELD LABOUR,M,"SKILLED 
LABOUR","REAPER & 
HARVESTER",TAMIL NADU,NANAKKAL,25,Apr-11,-
MANGALAPURAM FIELD LABOUR,W,"SKILLED 
LABOUR","REAPER & 
HARVESTER",TAMIL NADU,NANAKKAL,25,Apr-11,-
MANGALAPURAM FIELD LABOUR,M,"SKILLED 
LABOUR",SOWER,TAMIL NADU,NANAKKAL,25,Apr-11,-
MANGALAPURAM FIELD LABOUR,W,"SKILLED 
LABOUR",SOWER,TAMIL NADU,NANAKKAL,25,Apr-11,-
MANGALAPURAM FIELD LABOUR,M,"SKILLED 
LABOUR",WEEDER,TAMIL NADU,NANAKKAL,25,Apr-11,-
MANGALAPURAM FIELD LABOUR,W,"SKILLED 
LABOUR",WEEDER,TAMIL NADU,NANAKKAL,25,Apr-11,-
MANGALAPURAM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",TAMIL NADU,NANAKKAL,25,Apr-11,-
MANGALAPURAM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",TAMIL NADU,NANAKKAL,25,Apr-11,-
THURINJAPURAM FIELD LABOUR,M,"SKILLED 
LABOUR",PLOUGHMAN,TAMIL NADU,TIRUVANNAMALAI,26,Apr-11,140
THURINJAPURAM FIELD LABOUR,W,"SKILLED 
LABOUR",PLOUGHMAN,TAMIL NADU,TIRUVANNAMALAI,26,Apr-11,-
THURINJAPURAM FIELD LABOUR,M,"SKILLED 
LABOUR","REAPER & 
HARVESTER",TAMIL NADU,TIRUVANNAMALAI,26,Apr-11,145.78
THURINJAPURAM FIELD LABOUR,W,"SKILLED 
LABOUR","REAPER & 
HARVESTER",TAMIL NADU,TIRUVANNAMALAI,26,Apr-11,84.6
THURINJAPURAM FIELD LABOUR,M,"SKILLED 
LABOUR",SOWER,TAMIL NADU,TIRUVANNAMALAI,26,Apr-11,100
THURINJAPURAM FIELD LABOUR,W,"SKILLED 
LABOUR",SOWER,TAMIL NADU,TIRUVANNAMALAI,26,Apr-11,40
THURINJAPURAM FIELD LABOUR,M,"SKILLED 
LABOUR",WEEDER,TAMIL NADU,TIRUVANNAMALAI,26,Apr-11,-
THURINJAPURAM FIELD LABOUR,W,"SKILLED 
LABOUR",WEEDER,TAMIL NADU,TIRUVANNAMALAI,26,Apr-11,60.38
THURINJAPURAM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",TAMIL NADU,TIRUVANNAMALAI,26,Apr-11,160.63
THURINJAPURAM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",TAMIL NADU,TIRUVANNAMALAI,26,Apr-11,-
UTTAR DINAJPUR FIELD LABOUR,M,"SKILLED 
LABOUR",PLOUGHMAN,UTTRAKHAND,"UTTAR 
DINAJPUR",27,Apr-11,182
UTTAR DINAJPUR FIELD LABOUR,W,"SKILLED 
LABOUR",PLOUGHMAN,UTTRAKHAND,"UTTAR 
DINAJPUR",27,Apr-11,-
UTTAR DINAJPUR FIELD LABOUR,M,"SKILLED 
LABOUR","REAPER & 
HARVESTER",UTTRAKHAND,"UTTAR 
DINAJPUR",27,Apr-11,140
UTTAR DINAJPUR FIELD LABOUR,W,"SKILLED 
LABOUR","REAPER & 
HARVESTER",UTTRAKHAND,"UTTAR 
DINAJPUR",27,Apr-11,125
UTTAR DINAJPUR FIELD LABOUR,M,"SKILLED 
LABOUR",SOWER,UTTRAKHAND,"UTTAR 
DINAJPUR",27,Apr-11,148
UTTAR DINAJPUR FIELD LABOUR,W,"SKILLED 
LABOUR",SOWER,UTTRAKHAND,"UTTAR 
DINAJPUR",27,Apr-11,125
UTTAR DINAJPUR FIELD LABOUR,M,"SKILLED 
LABOUR",WEEDER,UTTRAKHAND,"UTTAR 
DINAJPUR",27,Apr-11,148
UTTAR DINAJPUR FIELD LABOUR,W,"SKILLED 
LABOUR",WEEDER,UTTRAKHAND,"UTTAR 
DINAJPUR",27,Apr-11,125
UTTAR DINAJPUR FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",UTTRAKHAND,"UTTAR 
DINAJPUR",27,Apr-11,-
UTTAR DINAJPUR FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",UTTRAKHAND,"UTTAR 
DINAJPUR",27,Apr-11,-
KOYYALAGUDEM FIELD LABOUR,M,"SKILLED 
LABOUR",FIELD LABOUR,ANDHRA PRADESH,WEST GODAVARI,25,May-11,200
KOYYALAGUDEM FIELD LABOUR,W,"SKILLED 
LABOUR",FIELD LABOUR,ANDHRA PRADESH,WEST GODAVARI,25,May-11,160
KOYYALAGUDEM FIELD LABOUR,M,HERDSMEN,HERDSMEN,ANDHRA PRADESH,WEST GODAVARI,25,May-11,90
KOYYALAGUDEM FIELD LABOUR,W,HERDSMEN,HERDSMEN,ANDHRA PRADESH,WEST GODAVARI,25,May-11,-
KOYYALAGUDEM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",ANDHRA PRADESH,WEST GODAVARI,25,May-11,180
KOYYALAGUDEM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",ANDHRA PRADESH,WEST GODAVARI,25,May-11,120
KOYYALAGUDEM FIELD LABOUR,M,"SKILLED 
LABOUR",BLACKSMITH,ANDHRA PRADESH,WEST GODAVARI,25,May-11,250
KOYYALAGUDEM FIELD LABOUR,W,"SKILLED 
LABOUR",BLACKSMITH,ANDHRA PRADESH,WEST GODAVARI,25,May-11,-
KOYYALAGUDEM FIELD LABOUR,M,"SKILLED 
LABOUR",CARPENTER,ANDHRA PRADESH,WEST GODAVARI,25,May-11,160
KOYYALAGUDEM FIELD LABOUR,W,"SKILLED 
LABOUR",CARPENTER,ANDHRA PRADESH,WEST GODAVARI,25,May-11,-
CHENGAOUANDU FIELD LABOUR,M,"SKILLED 
LABOUR","REAPER & 
HARVESTER",KARNATAKA,KOLLAM,25,May-11,400
CHENGAOUANDU FIELD LABOUR,W,"SKILLED 
LABOUR","REAPER & 
HARVESTER",KARNATAKA,KOLLAM,25,May-11,350
CHENGAOUANDU FIELD LABOUR,M,"SKILLED 
LABOUR",SOWER,KARNATAKA,KOLLAM,25,May-11,400
CHENGAOUANDU FIELD LABOUR,W,"SKILLED 
LABOUR",SOWER,KARNATAKA,KOLLAM,25,May-11,-
CHENGAOUANDU FIELD LABOUR,M,"SKILLED 
LABOUR",WEEDER,KARNATAKA,KOLLAM,25,May-11,-
CHENGAOUANDU FIELD LABOUR,W,"SKILLED 
LABOUR",WEEDER,KARNATAKA,KOLLAM,25,May-11,350
CHENGAOUANDU FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",KARNATAKA,KOLLAM,25,May-11,413.33
CHENGAOUANDU FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",KARNATAKA,KOLLAM,25,May-11,325
CHENGAOUANDU FIELD LABOUR,M,"SKILLED 
LABOUR",CARPENTER,KARNATAKA,KOLLAM,25,May-11,500
CHENGAOUANDU FIELD LABOUR,W,"SKILLED 
LABOUR",CARPENTER,KARNATAKA,KOLLAM,25,May-11,-
MANGALAPURAM FIELD LABOUR,M,"SKILLED 
LABOUR","REAPER & 
HARVESTER",TAMIL NADU,NANAKKAL,25,May-11,195.6
MANGALAPURAM FIELD LABOUR,W,"SKILLED 
LABOUR","REAPER & 
HARVESTER",TAMIL NADU,NANAKKAL,25,May-11,111.3
MANGALAPURAM FIELD LABOUR,M,"SKILLED 
LABOUR",SOWER,TAMIL NADU,NANAKKAL,25,May-11,-
MANGALAPURAM FIELD LABOUR,W,"SKILLED 
LABOUR",SOWER,TAMIL NADU,NANAKKAL,25,May-11,124.5
MANGALAPURAM FIELD LABOUR,M,"SKILLED 
LABOUR",WEEDER,TAMIL NADU,NANAKKAL,25,May-11,-
MANGALAPURAM FIELD LABOUR,W,"SKILLED 
LABOUR",WEEDER,TAMIL NADU,NANAKKAL,25,May-11,103.6
MANGALAPURAM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",TAMIL NADU,NANAKKAL,25,May-11,223.1
MANGALAPURAM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",TAMIL NADU,NANAKKAL,25,May-11,110
THURINJAPURAM FIELD LABOUR,M,"SKILLED 
LABOUR",PLOUGHMAN,TAMIL NADU,TIRUVANNAMALAI,26,May-11,137.5
THURINJAPURAM FIELD LABOUR,W,"SKILLED 
LABOUR",PLOUGHMAN,TAMIL NADU,TIRUVANNAMALAI,26,May-11,-
THURINJAPURAM FIELD LABOUR,M,"SKILLED 
LABOUR","REAPER & 
HARVESTER",TAMIL NADU,TIRUVANNAMALAI,26,May-11,150
THURINJAPURAM FIELD LABOUR,W,"SKILLED 
LABOUR","REAPER & 
HARVESTER",TAMIL NADU,TIRUVANNAMALAI,26,May-11,120
THURINJAPURAM FIELD LABOUR,M,"SKILLED 
LABOUR",SOWER,TAMIL NADU,TIRUVANNAMALAI,26,May-11,150
THURINJAPURAM FIELD LABOUR,W,"SKILLED 
LABOUR",SOWER,TAMIL NADU,TIRUVANNAMALAI,26,May-11,67.5
THURINJAPURAM FIELD LABOUR,M,"SKILLED 
LABOUR",WEEDER,TAMIL NADU,TIRUVANNAMALAI,26,May-11,-
THURINJAPURAM FIELD LABOUR,W,"SKILLED 
LABOUR",WEEDER,TAMIL NADU,TIRUVANNAMALAI,26,May-11,60.38
THURINJAPURAM FIELD LABOUR,M,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",TAMIL NADU,TIRUVANNAMALAI,26,May-11,162.94
THURINJAPURAM FIELD LABOUR,W,"OTHER 
AGRICULTURAL 
LABOUR","OTHER 
AGRICULTURAL 
LABOUR",TAMIL NADU,TIRUVANNAMALAI,26,May-11,73
